# vi: ts=30 sw=30
INTRODUCTION	INTRODUCTION	21
What is Turbo PMAC?	What is Turbo PMAC?	21
What is New about Turbo PMAC?	What is New about Turbo PMAC?	21
How do I Convert a PMAC Application?	How do I Convert a PMAC Application?	22
How do I use this Manual?	How do I use this Manual?	22
TURBO PMAC VARIABLE AND COMMAND SUMMARY	TURBO PMAC VARIABLE AND COMMAND SUMMARY	23
Notes	Notes	23
Definitions	Definitions	23
On-Line Commands	On-Line Commands	24
On-line Global Commands	On-Line Commands	24
On-line Coordinate System Commands	On-Line Commands	27
On-line Motor Commands	On-Line Commands	29
Motion Program Commands	Motion Program Commands	30
PLC Program Commands	PLC Program Commands	33
TURBO PMAC GLOBAL I-VARIABLES	TURBO PMAC GLOBAL I-VARIABLES	35
General Global Setup I-Variables	General Global Setup I-Variables	35
I0    Serial Card Number	General Global Setup I-Variables	35
I1    Serial Port Mode	General Global Setup I-Variables	36
I2    Control Panel Port Activation	General Global Setup I-Variables	36
I3    I/O Handshake Control	General Global Setup I-Variables	37
I4    Communications Integrity Mode	General Global Setup I-Variables	38
I5    PLC Program Control	General Global Setup I-Variables	39
I6    Error Reporting Mode	General Global Setup I-Variables	39
I7    Phase Cycle Extension	General Global Setup I-Variables	40
I8    Real-Time Interrupt Period	General Global Setup I-Variables	41
I9    Full/Abbreviated Listing Control	General Global Setup I-Variables	42
I10   Servo Interrupt Time	General Global Setup I-Variables	42
I11   Programmed Move Calculation Time	General Global Setup I-Variables	43
I12     Lookahead Time Spline Enable	General Global Setup I-Variables	44
I13   Foreground In-Position Check Enable	General Global Setup I-Variables	44
I14   Temporary Buffer Save Enable	General Global Setup I-Variables	45
I15   Degree/Radian Control for User Trig Functions	General Global Setup I-Variables	45
I16   Rotary Buffer Request On Point	General Global Setup I-Variables	45
I17   Rotary Buffer Request Off Point	General Global Setup I-Variables	46
I18   Fixed Buffer Full Warning Point	General Global Setup I-Variables	46
I19   Clock Source I-Variable Number (Turbo PMAC2 only)	General Global Setup I-Variables	46
I20   MACRO IC 0 Base Address (Turbo PMAC2 only)	General Global Setup I-Variables	48
I21   MACRO IC 1 Base Address (Turbo PMAC2 only)	General Global Setup I-Variables	48
I22   MACRO IC 2 Base Address (Turbo PMAC2 only)	General Global Setup I-Variables	49
I23   MACRO IC 3 Base Address (Turbo PMAC2 only)	General Global Setup I-Variables	50
I24   Main DPRAM Base Address	General Global Setup I-Variables	50
I26   UMAC Electrical MACRO Enable	General Global Setup I-Variables	51
I27   Alternate TWS Input Format	General Global Setup I-Variables	51
I28  Display Port Disable	General Global Setup I-Variables	52
I29  Multiplexer Port Alternate Address	General Global Setup I-Variables	52
I30  Compensation Table Wrap Enable	General Global Setup I-Variables	53
I35  Brick LV & Controller E-Stop Enable	General Global Setup I-Variables	53
I36  Enable/Abort Separation Control	General Global Setup I-Variables	54
I37  Additional Wait States	General Global Setup I-Variables	55
I38  In-Line CALL Enable	General Global Setup I-Variables	55
I39  UBUS Accessory ID Variable Display Control	General Global Setup I-Variables	56
I40  Watchdog Timer Reset Value	General Global Setup I-Variables	57
I41  I-Variable Lockout Control	General Global Setup I-Variables	57
I42  Spline/PVT Time Control Mode	General Global Setup I-Variables	58
I43  Auxiliary/Main Serial Port Parser Disable	General Global Setup I-Variables	58
I44  PMAC Ladder Program Enable {Special Firmware Only}	General Global Setup I-Variables	59
I45  Foreground Binary Rotary Buffer Transfer Enable	General Global Setup I-Variables	59
I46  P & Q-Variable Storage Location	General Global Setup I-Variables	59
I47  DPRAM Motor Data Foreground Reporting Period	General Global Setup I-Variables	60
I48  DPRAM Motor Data Foreground Reporting Enable	General Global Setup I-Variables	60
I49  DPRAM Background Data Reporting Enable	General Global Setup I-Variables	61
I50  DPRAM Background Data Reporting Period	General Global Setup I-Variables	61
I51  Compensation Table Enable	General Global Setup I-Variables	61
I52  CPU Frequency Control	General Global Setup I-Variables	61
I53  Auxiliary Serial Port Baud Rate Control	General Global Setup I-Variables	62
I54  Serial Port Baud Rate Control	General Global Setup I-Variables	63
I55  DPRAM Background Variable Buffers Enable	General Global Setup I-Variables	63
I56  DPRAM ASCII Communications Interrupt Enable	General Global Setup I-Variables	63
I57  DPRAM Motor Data Background Reporting Enable	General Global Setup I-Variables	64
I58  DPRAM ASCII Communications Enable	General Global Setup I-Variables	64
I59  Motor/C.S. Group Select	General Global Setup I-Variables	65
I60  Filtered Velocity Sample Time	General Global Setup I-Variables	65
I61  Filtered Velocity Shift	General Global Setup I-Variables	66
I62  Internal Message Carriage Return Control	General Global Setup I-Variables	66
I63  Control-X Echo Enable	General Global Setup I-Variables	67
I64  Internal Response Tag Enable	General Global Setup I-Variables	67
I65  User Configuration Variable	General Global Setup I-Variables	67
I67  Modbus TCP Buffer Start Address	General Global Setup I-Variables	68
I68  Coordinate System Activation Control	General Global Setup I-Variables	68
I69  Modbus TCP Software Control Panel Start Address	General Global Setup I-Variables	69
MACRO Ring Configuration I-Variables	MACRO Ring Configuration I-Variables	69
I70  MACRO IC 0 Node Auxiliary Register Enable	MACRO Ring Configuration I-Variables	69
I71  MACRO IC 0 Node Protocol Type Control	MACRO Ring Configuration I-Variables	70
I72  MACRO IC 1 Node Auxiliary Register Enable	MACRO Ring Configuration I-Variables	70
I73  MACRO IC 1 Node Protocol Type Control	MACRO Ring Configuration I-Variables	71
