# vi: ts=30 sw=30
i100	Motor 1 Activation Control	Motor Definition I-Variables
i200	Motor 2 Activation Control	Motor Definition I-Variables
i300	Motor 3 Activation Control	Motor Definition I-Variables
i400	Motor 4 Activation Control	Motor Definition I-Variables
i500	Motor 5 Activation Control	Motor Definition I-Variables
i600	Motor 6 Activation Control	Motor Definition I-Variables
i700	Motor 7 Activation Control	Motor Definition I-Variables
i800	Motor 8 Activation Control	Motor Definition I-Variables
i900	Motor 9 Activation Control	Motor Definition I-Variables
i1000	Motor 10 Activation Control	Motor Definition I-Variables
i1100	Motor 11 Activation Control	Motor Definition I-Variables
i1200	Motor 12 Activation Control	Motor Definition I-Variables
i1300	Motor 13 Activation Control	Motor Definition I-Variables
i1400	Motor 14 Activation Control	Motor Definition I-Variables
i1500	Motor 15 Activation Control	Motor Definition I-Variables
i1600	Motor 16 Activation Control	Motor Definition I-Variables
i1700	Motor 17 Activation Control	Motor Definition I-Variables
i1800	Motor 18 Activation Control	Motor Definition I-Variables
i1900	Motor 19 Activation Control	Motor Definition I-Variables
i2000	Motor 20 Activation Control	Motor Definition I-Variables
i2100	Motor 21 Activation Control	Motor Definition I-Variables
i2200	Motor 22 Activation Control	Motor Definition I-Variables
i2300	Motor 23 Activation Control	Motor Definition I-Variables
i2400	Motor 24 Activation Control	Motor Definition I-Variables
i2500	Motor 25 Activation Control	Motor Definition I-Variables
i2600	Motor 26 Activation Control	Motor Definition I-Variables
i2700	Motor 27 Activation Control	Motor Definition I-Variables
i2800	Motor 28 Activation Control	Motor Definition I-Variables
i2900	Motor 29 Activation Control	Motor Definition I-Variables
i3000	Motor 30 Activation Control	Motor Definition I-Variables
i3100	Motor 31 Activation Control	Motor Definition I-Variables
i3200	Motor 32 Activation Control	Motor Definition I-Variables
i101	Motor 1 Commutation Enable	Motor Definition I-Variables
i201	Motor 2 Commutation Enable	Motor Definition I-Variables
i301	Motor 3 Commutation Enable	Motor Definition I-Variables
i401	Motor 4 Commutation Enable	Motor Definition I-Variables
i501	Motor 5 Commutation Enable	Motor Definition I-Variables
i601	Motor 6 Commutation Enable	Motor Definition I-Variables
i701	Motor 7 Commutation Enable	Motor Definition I-Variables
i801	Motor 8 Commutation Enable	Motor Definition I-Variables
i901	Motor 9 Commutation Enable	Motor Definition I-Variables
i1001	Motor 10 Commutation Enable	Motor Definition I-Variables
i1101	Motor 11 Commutation Enable	Motor Definition I-Variables
i1201	Motor 12 Commutation Enable	Motor Definition I-Variables
i1301	Motor 13 Commutation Enable	Motor Definition I-Variables
i1401	Motor 14 Commutation Enable	Motor Definition I-Variables
i1501	Motor 15 Commutation Enable	Motor Definition I-Variables
i1601	Motor 16 Commutation Enable	Motor Definition I-Variables
i1701	Motor 17 Commutation Enable	Motor Definition I-Variables
i1801	Motor 18 Commutation Enable	Motor Definition I-Variables
i1901	Motor 19 Commutation Enable	Motor Definition I-Variables
i2001	Motor 20 Commutation Enable	Motor Definition I-Variables
i2101	Motor 21 Commutation Enable	Motor Definition I-Variables
