# vi: ts=30 sw=30
i0	Serial Card Number	General Global Setup I-Variables	35
i1	Serial Port Mode	General Global Setup I-Variables	36
i2	Control Panel Port Activation	General Global Setup I-Variables	36
i3	I/O Handshake Control	General Global Setup I-Variables	37
i4	Communications Integrity Mode	General Global Setup I-Variables	38
i5	PLC Program Control	General Global Setup I-Variables	39
i6	Error Reporting Mode	General Global Setup I-Variables	39
i7	Phase Cycle Extension	General Global Setup I-Variables	40
i8	Real-Time Interrupt Period	General Global Setup I-Variables	41
i9	Full/Abbreviated Listing Control	General Global Setup I-Variables	42
i10	Servo Interrupt Time	General Global Setup I-Variables	42
i11	Programmed Move Calculation Time	General Global Setup I-Variables	43
i12	Lookahead Time Spline Enable	General Global Setup I-Variables	44
i13	Foreground In-Position Check Enable	General Global Setup I-Variables	44
i14	Temporary Buffer Save Enable	General Global Setup I-Variables	45
i15	Degree/Radian Control for User Trig Functions	General Global Setup I-Variables	45
i16	Rotary Buffer Request On Point	General Global Setup I-Variables	45
i17	Rotary Buffer Request Off Point	General Global Setup I-Variables	46
i18	Fixed Buffer Full Warning Point	General Global Setup I-Variables	46
i19	Clock Source I-Variable Number (Turbo PMAC2 only)	General Global Setup I-Variables	46
i20	MACRO IC 0 Base Address (Turbo PMAC2 only)	General Global Setup I-Variables	48
i21	MACRO IC 1 Base Address (Turbo PMAC2 only)	General Global Setup I-Variables	48
i22	MACRO IC 2 Base Address (Turbo PMAC2 only)	General Global Setup I-Variables	49
i23	MACRO IC 3 Base Address (Turbo PMAC2 only)	General Global Setup I-Variables	50
i24	Main DPRAM Base Address	General Global Setup I-Variables	50
i26	UMAC Electrical MACRO Enable	General Global Setup I-Variables	51
i27	Alternate TWS Input Format	General Global Setup I-Variables	51
i28	Display Port Disable	General Global Setup I-Variables	52
i29	Multiplexer Port Alternate Address	General Global Setup I-Variables	52
i30	Compensation Table Wrap Enable	General Global Setup I-Variables	53
i35	Brick LV & Controller E-Stop Enable	General Global Setup I-Variables	53
i36	Enable/Abort Separation Control	General Global Setup I-Variables	54
i37	Additional Wait States	General Global Setup I-Variables	55
i38	In-Line CALL Enable	General Global Setup I-Variables	55
i39	UBUS Accessory ID Variable Display Control	General Global Setup I-Variables	56
i40	Watchdog Timer Reset Value	General Global Setup I-Variables	57
i41	I-Variable Lockout Control	General Global Setup I-Variables	57
i42	Spline/PVT Time Control Mode	General Global Setup I-Variables	58
i43	Auxiliary/Main Serial Port Parser Disable	General Global Setup I-Variables	58
i44	PMAC Ladder Program Enable {Special Firmware Only}	General Global Setup I-Variables	59
i45	Foreground Binary Rotary Buffer Transfer Enable	General Global Setup I-Variables	59
i46	P & Q-Variable Storage Location	General Global Setup I-Variables	59
i47	DPRAM Motor Data Foreground Reporting Period	General Global Setup I-Variables	60
i48	DPRAM Motor Data Foreground Reporting Enable	General Global Setup I-Variables	60
i49	DPRAM Background Data Reporting Enable	General Global Setup I-Variables	61
i50	DPRAM Background Data Reporting Period	General Global Setup I-Variables	61
i51	Compensation Table Enable	General Global Setup I-Variables	61
i52	CPU Frequency Control	General Global Setup I-Variables	61
i53	Auxiliary Serial Port Baud Rate Control	General Global Setup I-Variables	62
i54	Serial Port Baud Rate Control	General Global Setup I-Variables	63
i55	DPRAM Background Variable Buffers Enable	General Global Setup I-Variables	63
i56	DPRAM ASCII Communications Interrupt Enable	General Global Setup I-Variables	63
i57	DPRAM Motor Data Background Reporting Enable	General Global Setup I-Variables	64
i58	DPRAM ASCII Communications Enable	General Global Setup I-Variables	64
i59	Motor/C.S. Group Select	General Global Setup I-Variables	65
i60	Filtered Velocity Sample Time	General Global Setup I-Variables	65
i61	Filtered Velocity Shift	General Global Setup I-Variables	66
i62	Internal Message Carriage Return Control	General Global Setup I-Variables	66
i63	Control-X Echo Enable	General Global Setup I-Variables	67
i64	Internal Response Tag Enable	General Global Setup I-Variables	67
i65	User Configuration Variable	General Global Setup I-Variables	67
i67	Modbus TCP Buffer Start Address	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i68	Coordinate System Activation Control	General Global Setup I-Variables	68
i69	Modbus TCP Software Control Panel Start Address	General Global Setup I-Variables	69
i70	MACRO IC 0 Node Auxiliary Register Enable	MACRO Ring Configuration I-Variables	69
i71	MACRO IC 0 Node Protocol Type Control	MACRO Ring Configuration I-Variables	70
i72	MACRO IC 1 Node Auxiliary Register Enable	MACRO Ring Configuration I-Variables	70
i73	MACRO IC 1 Node Protocol Type Control	MACRO Ring Configuration I-Variables	71
i74	MACRO IC 2 Node Auxiliary Register Enable	MACRO Ring Configuration I-Variables	71
i75	MACRO IC 2 Node Protocol Type Control	MACRO Ring Configuration I-Variables	72
i76	MACRO IC 3 Node Auxiliary Register Enable	MACRO Ring Configuration I-Variables	72
i77	MACRO IC 3 Node Protocol Type Control	MACRO Ring Configuration I-Variables	73
i78	MACRO Type 1 Master/Slave Communications Timeout	MACRO Ring Configuration I-Variables	73
i79	MACRO Type 1 Master/Master Communications Timeout	MACRO Ring Configuration I-Variables	74
