# vi: sw=20 ts=20
X:$0,0,24,S	24-bit servo cycle counter
X:$6,6,1	ACC-34 serial parity error bit
Y:$78005,8,16,S	ADC1A input value
Y:$78205,8,16,S	ADC1A input value
Y:$79205,8,16,S	ADC1A input value
Y:$7A205,8,16,S	ADC1A input value
Y:$78006,8,16,S	ADC1B input value
Y:$78206,8,16,S	ADC1B input value
Y:$79206,8,16,S	ADC1B input value
Y:$7A206,8,16,S	ADC1B input value
Y:$7800D,8,16,S	ADC2A input value
Y:$7820D,8,16,S	ADC2A input value
Y:$7920D,8,16,S	ADC2A input value
Y:$7A20D,8,16,S	ADC2A input value
Y:$7800E,8,16,S	ADC2B input value
Y:$7820E,8,16,S	ADC2B input value
Y:$7920E,8,16,S	ADC2B input value
Y:$7A20E,8,16,S	ADC2B input value
Y:$78015,8,16,S	ADC3A input value
Y:$78215,8,16,S	ADC3A input value
Y:$79215,8,16,S	ADC3A input value
Y:$7A215,8,16,S	ADC3A input value
Y:$78016,8,16,S	ADC3B input value
Y:$78216,8,16,S	ADC3B input value
Y:$79216,8,16,S	ADC3B input value
Y:$7A216,8,16,S	ADC3B input value
Y:$7801D,8,16,S	ADC4A input value
Y:$7821D,8,16,S	ADC4A input value
Y:$7921D,8,16,S	ADC4A input value
Y:$7A21D,8,16,S	ADC4A input value
Y:$7801E,8,16,S	ADC4B input value
Y:$7821E,8,16,S	ADC4B input value
Y:$7921E,8,16,S	ADC4B input value
Y:$7A21E,8,16,S	ADC4B input value
Y:$78105,8,16,S	ADC5A input value
Y:$78305,8,16,S	ADC5A input value
Y:$79305,8,16,S	ADC5A input value
Y:$7A305,8,16,S	ADC5A input value
Y:$78106,8,16,S	ADC5B input value
Y:$78306,8,16,S	ADC5B input value
Y:$79306,8,16,S	ADC5B input value
Y:$7A306,8,16,S	ADC5B input value
Y:$7810D,8,16,S	ADC6A input value
Y:$7830D,8,16,S	ADC6A input value
Y:$7930D,8,16,S	ADC6A input value
Y:$7A30D,8,16,S	ADC6A input value
Y:$7810E,8,16,S	ADC6B input value
Y:$7830E,8,16,S	ADC6B input value
Y:$7930E,8,16,S	ADC6B input value
Y:$7A30E,8,16,S	ADC6B input value
Y:$78115,8,16,S	ADC7A input value
Y:$78315,8,16,S	ADC7A input value
Y:$79315,8,16,S	ADC7A input value
Y:$7A315,8,16,S	ADC7A input value
Y:$78116,8,16,S	ADC7B input value
Y:$78316,8,16,S	ADC7B input value
Y:$79316,8,16,S	ADC7B input value
Y:$7A316,8,16,S	ADC7B input value
Y:$7811D,8,16,S	ADC8A input value
Y:$7831D,8,16,S	ADC8A input value
Y:$7931D,8,16,S	ADC8A input value
Y:$7A31D,8,16,S	ADC8A input value
Y:$7811E,8,16,S	ADC8B input value
Y:$7831E,8,16,S	ADC8B input value
Y:$7931E,8,16,S	ADC8B input value
Y:$7A31E,8,16,S	ADC8B input value
X:$78005,14	AENA1 output status
X:$78205,14	AENA1 output status
X:$79205,14	AENA1 output status
X:$7A205,14	AENA1 output status
X:$7800D,14	AENA2 output status
X:$7820D,14	AENA2 output status
X:$7920D,14	AENA2 output status
X:$7A20D,14	AENA2 output status
X:$78015,14	AENA3 output status
X:$78215,14	AENA3 output status
X:$79215,14	AENA3 output status
X:$7A215,14	AENA3 output status
X:$7801D,14	AENA4 output status
X:$7821D,14	AENA4 output status
X:$7921D,14	AENA4 output status
X:$7A21D,14	AENA4 output status
X:$78105,14	AENA5 output status
X:$78305,14	AENA5 output status
X:$79305,14	AENA5 output status
X:$7A305,14	AENA5 output status
X:$7810D,14	AENA6 output status
X:$7830D,14	AENA6 output status
X:$7930D,14	AENA6 output status
X:$7A30D,14	AENA6 output status
X:$78115,14	AENA7 output status
X:$78315,14	AENA7 output status
X:$79315,14	AENA7 output status
X:$7A315,14	AENA7 output status
X:$7811D,14	AENA8 output status
X:$7831D,14	AENA8 output status
X:$7931D,14	AENA8 output status
X:$7A31D,14	AENA8 output status
X:$6,13,1	Any memory checksum error bit
Y:$70800,4	Buffer direction control for DAT0 to DAT7, PCbus
Y:$70800,5	Buffer direction control for SEL0 to SEL7, PCbus
Y:$78005,9	Channel 1 amplifier mode bit
Y:$78005,0,16	Channel 1 amplifier status flags
Y:$78807,0	Channel 1 encoder loss
X:$78000,9	Channel 1 position compare output readout
X:$78000,23	Channel 1 T flag input status
X:$78200,23	Channel 1 T flag input status
X:$79200,23	Channel 1 T flag input status
X:$7A200,23	Channel 1 T flag input status
X:$78000,20,4	Channel 1 TUVW inputs as 4-bit value
X:$78200,20,4	Channel 1 TUVW inputs as 4-bit value
X:$79200,20,4	Channel 1 TUVW inputs as 4-bit value
X:$7A200,20,4	Channel 1 TUVW inputs as 4-bit value
X:$78000,22	Channel 1 U flag input status
X:$78200,22	Channel 1 U flag input status
X:$79200,22	Channel 1 U flag input status
X:$7A200,22	Channel 1 U flag input status
X:$78000,21	Channel 1 V flag input status
X:$78200,21	Channel 1 V flag input status
X:$79200,21	Channel 1 V flag input status
X:$7A200,21	Channel 1 V flag input status
X:$78000,20	Channel 1 W flag input status
X:$78200,20	Channel 1 W flag input status
X:$79200,20	Channel 1 W flag input status
X:$7A200,20	Channel 1 W flag input status
Y:$7800D,9	Channel 2 amplifier mode bit
Y:$7800D,0,16	Channel 2 amplifier status flags
Y:$78807,1	Channel 2 encoder loss
X:$78008,9	Channel 2 position compare output readout
X:$78008,23	Channel 2 T flag input status
X:$78208,23	Channel 2 T flag input status
X:$79208,23	Channel 2 T flag input status
X:$7A208,23	Channel 2 T flag input status
X:$78008,20,4	Channel 2 TUVW inputs as 4-bit value
X:$78208,20,4	Channel 2 TUVW inputs as 4-bit value
X:$79208,20,4	Channel 2 TUVW inputs as 4-bit value
X:$7A208,20,4	Channel 2 TUVW inputs as 4-bit value
X:$78008,22	Channel 2 U flag input status
X:$78208,22	Channel 2 U flag input status
X:$79208,22	Channel 2 U flag input status
X:$7A208,22	Channel 2 U flag input status
X:$78008,21	Channel 2 V flag input status
X:$78208,21	Channel 2 V flag input status
X:$79208,21	Channel 2 V flag input status
X:$7A208,21	Channel 2 V flag input status
X:$78008,20	Channel 2 W flag input status
X:$78208,20	Channel 2 W flag input status
X:$79208,20	Channel 2 W flag input status
X:$7A208,20	Channel 2 W flag input status
Y:$78015,9	Channel 3 amplifier mode bit
Y:$78015,0,16	Channel 3 amplifier status flags
Y:$78807,2	Channel 3 encoder loss
X:$78010,9	Channel 3 position compare output readout
X:$78010,23	Channel 3 T flag input status
X:$78210,23	Channel 3 T flag input status
X:$79210,23	Channel 3 T flag input status
X:$7A210,23	Channel 3 T flag input status
X:$78010,20,4	Channel 3 TUVW inputs as 4-bit value
X:$78210,20,4	Channel 3 TUVW inputs as 4-bit value
X:$79210,20,4	Channel 3 TUVW inputs as 4-bit value
X:$7A210,20,4	Channel 3 TUVW inputs as 4-bit value
X:$78010,22	Channel 3 U flag input status
X:$78210,22	Channel 3 U flag input status
X:$79210,22	Channel 3 U flag input status
X:$7A210,22	Channel 3 U flag input status
X:$78010,21	Channel 3 V flag input status
X:$78210,21	Channel 3 V flag input status
X:$79210,21	Channel 3 V flag input status
X:$7A210,21	Channel 3 V flag input status
X:$78010,20	Channel 3 W flag input status
X:$78210,20	Channel 3 W flag input status
X:$79210,20	Channel 3 W flag input status
X:$7A210,20	Channel 3 W flag input status
Y:$7801D,9	Channel 4 amplifier mode bit
Y:$7801D,0,16	Channel 4 amplifier status flags
Y:$78807,3	Channel 4 encoder loss
X:$78018,9	Channel 4 position compare output readout
X:$78018,23	Channel 4 T flag input status
X:$78218,23	Channel 4 T flag input status
X:$79218,23	Channel 4 T flag input status
X:$7A218,23	Channel 4 T flag input status
X:$78018,20,4	Channel 4 TUVW inputs as 4-bit value
X:$78218,20,4	Channel 4 TUVW inputs as 4-bit value
X:$79218,20,4	Channel 4 TUVW inputs as 4-bit value
X:$7A218,20,4	Channel 4 TUVW inputs as 4-bit value
X:$78018,22	Channel 4 U flag input status
X:$78218,22	Channel 4 U flag input status
X:$79218,22	Channel 4 U flag input status
X:$7A218,22	Channel 4 U flag input status
X:$78018,21	Channel 4 V flag input status
X:$78218,21	Channel 4 V flag input status
X:$79218,21	Channel 4 V flag input status
X:$7A218,21	Channel 4 V flag input status
X:$78018,20	Channel 4 W flag input status
X:$78218,20	Channel 4 W flag input status
X:$79218,20	Channel 4 W flag input status
X:$7A218,20	Channel 4 W flag input status
Y:$78105,9	Channel 5 amplifier mode bit
Y:$78105,0,16	Channel 5 amplifier status flags
Y:$78807,4	Channel 5 encoder loss
X:$78100,9	Channel 5 position compare output readout
X:$78100,23	Channel 5 T flag input status
X:$78300,23	Channel 5 T flag input status
X:$79300,23	Channel 5 T flag input status
X:$7A300,23	Channel 5 T flag input status
X:$78100,20,4	Channel 5 TUVW inputs as 4-bit value
X:$78300,20,4	Channel 5 TUVW inputs as 4-bit value
X:$79300,20,4	Channel 5 TUVW inputs as 4-bit value
X:$7A300,20,4	Channel 5 TUVW inputs as 4-bit value
X:$78100,22	Channel 5 U flag input status
X:$78300,22	Channel 5 U flag input status
X:$79300,22	Channel 5 U flag input status
X:$7A300,22	Channel 5 U flag input status
X:$78100,21	Channel 5 V flag input status
X:$78300,21	Channel 5 V flag input status
X:$79300,21	Channel 5 V flag input status
X:$7A300,21	Channel 5 V flag input status
X:$78100,20	Channel 5 W flag input status
X:$78300,20	Channel 5 W flag input status
X:$79300,20	Channel 5 W flag input status
X:$7A300,20	Channel 5 W flag input status
Y:$7810D,9	Channel 6 amplifier mode bit
Y:$7810D,0,16	Channel 6 amplifier status flags
Y:$78807,5	Channel 6 encoder loss
X:$78108,9	Channel 6 position compare output readout
X:$78108,23	Channel 6 T flag input status
X:$78308,23	Channel 6 T flag input status
X:$79308,23	Channel 6 T flag input status
X:$7A308,23	Channel 6 T flag input status
X:$78108,20,4	Channel 6 TUVW inputs as 4-bit value
X:$78308,20,4	Channel 6 TUVW inputs as 4-bit value
X:$79308,20,4	Channel 6 TUVW inputs as 4-bit value
X:$7A308,20,4	Channel 6 TUVW inputs as 4-bit value
X:$78108,22	Channel 6 U flag input status
X:$78308,22	Channel 6 U flag input status
X:$79308,22	Channel 6 U flag input status
X:$7A308,22	Channel 6 U flag input status
X:$78108,21	Channel 6 V flag input status
X:$78308,21	Channel 6 V flag input status
X:$79308,21	Channel 6 V flag input status
X:$7A308,21	Channel 6 V flag input status
X:$78108,20	Channel 6 W flag input status
X:$78308,20	Channel 6 W flag input status
X:$79308,20	Channel 6 W flag input status
X:$7A308,20	Channel 6 W flag input status
